manuscript_id,scenario,scheduler,rep,inversions,worst_overtaken
C3,c3_multi_zone_emergency,fifo,0,0,0
C3,c3_multi_zone_emergency,fifo,1,0,0
C3,c3_multi_zone_emergency,fifo,10,0,0
C3,c3_multi_zone_emergency,fifo,11,0,0
C3,c3_multi_zone_emergency,fifo,12,0,0
C3,c3_multi_zone_emergency,fifo,13,0,0
C3,c3_multi_zone_emergency,fifo,14,0,0
C3,c3_multi_zone_emergency,fifo,15,0,0
C3,c3_multi_zone_emergency,fifo,16,0,0
C3,c3_multi_zone_emergency,fifo,17,0,0
C3,c3_multi_zone_emergency,fifo,18,0,0
C3,c3_multi_zone_emergency,fifo,19,0,0
C3,c3_multi_zone_emergency,fifo,2,0,0
C3,c3_multi_zone_emergency,fifo,20,0,0
C3,c3_multi_zone_emergency,fifo,21,0,0
C3,c3_multi_zone_emergency,fifo,22,0,0
C3,c3_multi_zone_emergency,fifo,23,0,0
C3,c3_multi_zone_emergency,fifo,24,0,0
C3,c3_multi_zone_emergency,fifo,25,0,0
C3,c3_multi_zone_emergency,fifo,26,0,0
C3,c3_multi_zone_emergency,fifo,27,0,0
C3,c3_multi_zone_emergency,fifo,28,0,0
C3,c3_multi_zone_emergency,fifo,29,0,0
C3,c3_multi_zone_emergency,fifo,3,0,0
C3,c3_multi_zone_emergency,fifo,4,0,0
C3,c3_multi_zone_emergency,fifo,5,0,0
C3,c3_multi_zone_emergency,fifo,6,0,0
C3,c3_multi_zone_emergency,fifo,7,0,0
C3,c3_multi_zone_emergency,fifo,8,0,0
C3,c3_multi_zone_emergency,fifo,9,0,0
C3,c3_multi_zone_emergency,strict,0,48,24
C3,c3_multi_zone_emergency,strict,1,48,24
C3,c3_multi_zone_emergency,strict,10,48,24
C3,c3_multi_zone_emergency,strict,11,48,24
C3,c3_multi_zone_emergency,strict,12,48,24
C3,c3_multi_zone_emergency,strict,13,48,24
C3,c3_multi_zone_emergency,strict,14,48,24
C3,c3_multi_zone_emergency,strict,15,48,24
C3,c3_multi_zone_emergency,strict,16,48,24
C3,c3_multi_zone_emergency,strict,17,48,24
C3,c3_multi_zone_emergency,strict,18,48,24
C3,c3_multi_zone_emergency,strict,19,48,24
C3,c3_multi_zone_emergency,strict,2,48,24
C3,c3_multi_zone_emergency,strict,20,48,24
C3,c3_multi_zone_emergency,strict,21,48,24
C3,c3_multi_zone_emergency,strict,22,48,24
C3,c3_multi_zone_emergency,strict,23,48,24
C3,c3_multi_zone_emergency,strict,24,48,24
C3,c3_multi_zone_emergency,strict,25,48,24
C3,c3_multi_zone_emergency,strict,26,48,24
C3,c3_multi_zone_emergency,strict,27,48,24
C3,c3_multi_zone_emergency,strict,28,48,24
C3,c3_multi_zone_emergency,strict,29,48,24
C3,c3_multi_zone_emergency,strict,3,48,24
C3,c3_multi_zone_emergency,strict,4,48,24
C3,c3_multi_zone_emergency,strict,5,48,24
C3,c3_multi_zone_emergency,strict,6,48,24
C3,c3_multi_zone_emergency,strict,7,48,24
C3,c3_multi_zone_emergency,strict,8,48,24
C3,c3_multi_zone_emergency,strict,9,48,24
C3,c3_multi_zone_emergency,wfq,0,26,10
