manuscript_id,scenario,scheduler,zone,alarm_rtt_mean_ms,alarm_rtt_ci95_ms,routine_rtt_mean_ms,routine_rtt_ci95_ms,n
C3,c3_multi_zone_emergency,fifo,0,nan,nan,4413.422768109999,130.60674884078225,600
C3,c3_multi_zone_emergency,fifo,1,nan,nan,2869.4176698033334,129.3682315620558,600
C3,c3_multi_zone_emergency,fifo,2,3659.2695372999997,240.5564208018708,3047.4445318783332,127.20366387640668,690
C3,c3_multi_zone_emergency,fifo,3,nan,nan,2832.554669931667,130.97515537810324,600
C3,c3_multi_zone_emergency,fifo,4,4078.740997088888,247.34547037491348,3796.487637965,129.12745184273686,690
C3,c3_multi_zone_emergency,fifo,5,nan,nan,4093.810022938333,127.65498794314783,600
C3,c3_multi_zone_emergency,strict,0,nan,nan,255.69809022500002,11.648014458980159,600
C3,c3_multi_zone_emergency,strict,1,nan,nan,473.7021486833333,19.392237007789088,600
C3,c3_multi_zone_emergency,strict,2,603.9693686,97.77048204783804,970.6248492233333,7.978987131711579,690
C3,c3_multi_zone_emergency,strict,3,nan,nan,1432.0779861250003,10.85755689053894,600
C3,c3_multi_zone_emergency,strict,4,5259.569228633332,406.46970022930225,3990.153577685,136.97909408614584,690
C3,c3_multi_zone_emergency,strict,5,nan,nan,14158.824173611667,368.10656652929407,600
C3,c3_multi_zone_emergency,wfq,0,nan,nan,1054.49559101,82.04550471545579,600
C3,c3_multi_zone_emergency,wfq,1,nan,nan,1794.09625112,100.39378887222345,600
C3,c3_multi_zone_emergency,wfq,2,2392.2097436555555,313.3898204864053,2977.0508168266665,114.45643287556886,690
C3,c3_multi_zone_emergency,wfq,3,nan,nan,4028.0148476183335,133.6668293603804,600
C3,c3_multi_zone_emergency,wfq,4,5290.8357453,321.0710903718683,4986.104769605,141.92632965027042,690
C3,c3_multi_zone_emergency,wfq,5,nan,nan,6127.839040418334,168.07291828858436,600
C3,c3_multi_zone_emergency,drr,0,nan,nan,4345.308547074999,137.44666105423948,600
C3,c3_multi_zone_emergency,drr,1,nan,nan,2996.2305617133334,132.23426926195236,600
C3,c3_multi_zone_emergency,drr,2,2413.7409282666667,22.059816120781615,3105.3863510783335,131.27110612649685,690
C3,c3_multi_zone_emergency,drr,3,nan,nan,2882.756022283333,133.1656374411314,600
C3,c3_multi_zone_emergency,drr,4,2601.6217945444446,22.24718349986745,3919.2632142683337,131.76801535033565,690
C3,c3_multi_zone_emergency,drr,5,nan,nan,4214.04587936,131.2678527028013,600
C3,c3_multi_zone_emergency,tbp,0,nan,nan,553.5650231733334,8.118411264384537,600
C3,c3_multi_zone_emergency,tbp,1,nan,nan,167.29259877500002,8.251606399054596,600
C3,c3_multi_zone_emergency,tbp,2,974.4735194555554,91.32936099558545,1209.3312409216667,17.290329900236173,690
C3,c3_multi_zone_emergency,tbp,3,nan,nan,1126.1192893416667,18.338157101980222,600
