manuscript_id,scenario,scheduler,alarm_rtt_mean_ms,alarm_rtt_ci95_ms,routine_rtt_mean_ms,routine_rtt_ci95_ms,overhead_p50_us,overhead_p99_us,overhead_source,dropped,inversions_per_rep_mean,inversions_per_rep_ci95,worst_alarm_overtaken,cpu_core_util_mean,alarm_n,routine_n,reps
C3,c3_multi_zone_emergency,fifo,3869.0052671944436,174.7558176380631,3508.856216771111,56.478427749868885,1.31,4.86,reported,0,0.0,0.0,0,0.001,180,3600,30
C3,c3_multi_zone_emergency,strict,2931.7692986166667,399.67764911175016,3546.8468042588884,173.06363604698615,4.65,10.12,reported,0,48.0,0.0,24,0.001,180,3600,30
C3,c3_multi_zone_emergency,wfq,3841.5227444777775,308.42141235139104,3494.600219433056,77.25878691006186,5.611,11.272080000000004,measured,0,26.6,1.8525197254910222,12,0.0010000000000000002,180,3600,30
C3,c3_multi_zone_emergency,drr,2507.6813614055554,20.818630759237955,3577.1650959630556,57.636520005716825,6.018,14.39677,measured,0,0.0,0.0,0,0.0010000000000000002,180,3600,30
C3,c3_multi_zone_emergency,tbp,5608.196866900001,693.2381762817012,3407.924709228611,135.65348268424492,5.778,12.65199,measured,0,88.0,0.0,40,0.0010000000000000002,180,3600,30
C3,c3_multi_zone_emergency,triage4,168.59358045,14.31559060173334,3687.465824696111,146.34102644858615,14.94,43.88,reported,0,0.0,0.0,0,0.001,180,3600,30
R3,r3_legit_extreme_emergency,fifo,4457.90678986,203.5927060043859,6309.850133277112,65.07462529515907,1.31,2.11,reported,0,4.3,0.6915294393713411,2,0.001,900,9000,30
R3,r3_legit_extreme_emergency,strict,4800.032743987777,563.9511908689605,6247.036553900778,194.3028853051884,4.48,7.78,reported,0,823.8666666666667,1.7774244399823977,249,0.001,900,9000,30
R3,r3_legit_extreme_emergency,wfq,3790.8282526544444,225.96099663004034,6386.329521386334,76.22937810386712,5.666,8.815,measured,0,151.03333333333333,3.2695715819510536,26,0.0011333333333333334,900,9000,30
R3,r3_legit_extreme_emergency,drr,1316.962580472222,39.5954306219537,6601.583482602111,65.27276516110162,5.556,8.94401,measured,0,0.7333333333333333,0.24744716530374367,1,0.0011000000000000003,900,9000,30
R3,r3_legit_extreme_emergency,tbp,3857.47036674,441.3316239368912,6802.010434491778,191.48250637135044,5.13,11.389,measured,0,531.8666666666667,1.2668603360714674,132,0.0011666666666666668,900,9000,30
R3,r3_legit_extreme_emergency,triage4,587.9308095988889,22.03534110517156,7122.669416739444,195.98914103139882,13.68,26.46,reported,0,0.0,0.0,0,0.001,900,9000,30
