parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_window_duration,2.0,0,alarm_flood_attack,20,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.1536650735573407,0.12272338422073804,0.18460676289394334,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,5.0,0,alarm_flood_attack,20,0.12999999999999998,0.12999999999999998,0.12999999999999998,0.1805526562037843,0.1433982369804128,0.2177070754271558,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,7.0,0,alarm_flood_attack,20,0.125,nan,nan,0.1933579435202639,0.15110404740606972,0.23561183963445806,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,10.0,1,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,15.0,0,alarm_flood_attack,20,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.26599070525967244,0.19994413525373278,0.3320372752656121,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,20.0,0,alarm_flood_attack,20,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.30310503621060436,0.22541942985049382,0.38079064257071493,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,30.0,0,alarm_flood_attack,20,0.0,nan,nan,0.33880405622717824,0.2514252951666127,0.42618281728774376,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,2.0,0,alarm_malfunction_surge,20,0.19390862944162435,0.1884802270748874,0.1993370318083613,0.13729334742336352,0.11734742481764053,0.15723927002908653,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,5.0,0,alarm_malfunction_surge,20,0.1833756345177665,0.17850268989481172,0.1882485791407213,0.1466126659995019,0.12489069252532828,0.16833463947367552,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,7.0,0,alarm_malfunction_surge,20,0.17461928934010157,0.16787109979741333,0.1813674788827898,0.15942972804255023,0.13525690775778346,0.183602548327317,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,10.0,1,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,15.0,0,alarm_malfunction_surge,20,0.14746192893401017,0.14110707165954928,0.15381678620847106,0.21857397433042994,0.17321928818372834,0.26392866047713154,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,20.0,0,alarm_malfunction_surge,20,0.1328680203045685,0.12523499832762267,0.14050104228151436,0.24314058353723142,0.18940425637751024,0.2968769106969526,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,30.0,0,alarm_malfunction_surge,20,0.10494923857868022,0.09787152028787582,0.1120269568694846,0.30901126231057463,0.234848672009084,0.38317385261206527,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_window_duration,2.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,5.0,nan,nan,1,
alarm_window_duration,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_window_duration,7.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_window_duration,10.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_window_duration,15.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_window_duration,20.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_window_duration,30.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_abnormal_threshold,1.0,0,alarm_flood_attack,20,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.1536650735573407,0.12272338422073804,0.18460676289394334,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,2.0,0,alarm_flood_attack,20,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.17250539892371292,0.13895066011951582,0.20606013772791001,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,3.0,0,alarm_flood_attack,20,0.125,nan,nan,0.1840487725417392,0.14359127910089658,0.22450626598258183,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,5.0,1,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,8.0,0,alarm_flood_attack,20,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.27392831241490645,0.20547205310785302,0.3423845717219599,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,12.0,0,alarm_flood_attack,20,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.3253340883302745,0.24132166436699992,0.40934651229354907,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,20.0,0,alarm_flood_attack,20,0.0,nan,nan,0.33880405622717824,0.2514252951666127,0.42618281728774376,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,1.0,0,alarm_malfunction_surge,20,0.19390862944162435,0.1884802270748874,0.1993370318083613,0.13729334742336352,0.11734742481764053,0.15723927002908653,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,2.0,0,alarm_malfunction_surge,20,0.1883248730964467,0.1838370984363034,0.19281264775659,0.13976516404279396,0.12070842908324388,0.15882189900234403,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,3.0,0,alarm_malfunction_surge,20,0.1785532994923858,0.1732512005883844,0.1838553983963872,0.15269398970700002,0.12929548427994084,0.1760924951340592,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,5.0,1,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,8.0,0,alarm_malfunction_surge,20,0.14352791878172586,0.1358929512183145,0.15116288634513722,0.22600781270286707,0.17989129224668346,0.27212433315905066,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,12.0,0,alarm_malfunction_surge,20,0.12309644670050764,0.11471032445391154,0.13148256894710372,0.26468817401592715,0.20620932044088158,0.3231670275909727,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,20.0,0,alarm_malfunction_surge,20,0.05710659898477157,0.04590703734851468,0.06830616062102847,0.42627936461964355,0.320527944290998,0.5320307849482891,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_abnormal_threshold,1.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,1.0,nan,nan,1,
alarm_abnormal_threshold,2.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_abnormal_threshold,3.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_abnormal_threshold,5.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_abnormal_threshold,8.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_abnormal_threshold,12.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_abnormal_threshold,20.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_deactivation_threshold,0.5,0,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,1.0,0,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,2.0,0,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,3.0,0,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,4.0,1,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,5.0,0,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,0.5,0,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,1.0,0,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,2.0,0,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,3.0,0,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,4.0,1,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,5.0,0,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_deactivation_threshold,0.5,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_deactivation_threshold,1.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_deactivation_threshold,2.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_deactivation_threshold,3.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_deactivation_threshold,4.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
