parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,legitimate_alarm_dropped_rate_mean,legitimate_alarm_dropped_rate_ci_lower,legitimate_alarm_dropped_rate_ci_upper,legitimate_alarm_n,abnormal_alarm_dropped_rate_mean,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_window_duration,2.0,0,alarm_flood_attack,20,0.8545454545454547,0.8545454545454546,0.8545454545454548,0.0,nan,nan,20.0,0.9400000000000001,0.030630565543102062,0.025859948630602366,0.03540118245560176,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,5.0,0,alarm_flood_attack,20,0.8545454545454547,0.8545454545454546,0.8545454545454548,0.0,nan,nan,20.0,0.9400000000000001,0.030630565543102062,0.025859948630602366,0.03540118245560176,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,7.0,0,alarm_flood_attack,20,0.85,nan,nan,0.0,nan,nan,20.0,0.9349999999999999,0.028780397093111372,0.024605063775319777,0.03295573041090297,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,10.0,1,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,15.0,0,alarm_flood_attack,20,0.8318181818181818,nan,nan,0.0,nan,nan,20.0,0.9149999999999998,0.0316988595557846,0.025084194808676324,0.03831352430289288,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,20.0,0,alarm_flood_attack,20,0.8227272727272726,0.8227272727272726,0.8227272727272726,0.0,nan,nan,20.0,0.905,0.03840192617346338,0.030201314904832174,0.04660253744209458,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,30.0,0,alarm_flood_attack,20,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,nan,nan,20.0,0.8800000000000001,0.05862614914644011,0.04487585450549485,0.07237644378738538,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_window_duration,2.0,0,alarm_malfunction_surge,20,0.5389999999999999,0.5370495294775027,0.5409504705224971,0.0,nan,nan,20.0,0.5673684210526316,0.035584275180254143,0.029517341780742706,0.04165120857976558,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_window_duration,5.0,0,alarm_malfunction_surge,20,0.5388749999999999,0.5369969862052817,0.5407530137947181,0.0,nan,nan,20.0,0.567236842105263,0.03653928144010293,0.030498695637814672,0.04257986724239119,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_window_duration,7.0,0,alarm_malfunction_surge,20,0.52575,0.5235009920739705,0.5279990079260296,0.0,nan,nan,20.0,0.5534210526315788,0.04356075029928942,0.03294720747430756,0.054174293124271286,0.0,nan,nan,9.0,nan,nan,1,0.25
