sweep_type,fpr,fnr,scenario,n_runs,tp_latency_mean,tp_latency_ci_lower,tp_latency_ci_upper,fn_demotion_latency_mean,fn_demotion_latency_ci_lower,fn_demotion_latency_ci_upper,fp_alarm_latency_mean,fp_alarm_latency_ci_lower,fp_alarm_latency_ci_upper,aap_activations_mean,aap_activations_ci_lower,aap_activations_ci_upper,n_true_positives_mean,n_false_negatives_mean,n_false_positives_mean,tp_latency_baseline
fpr_sweep,0.0,0.0,alarm_flood_attack,50,0.03439749217664013,0.031125258708883267,0.03766972564439699,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,220.0,0.0,0.0,0.03439749217664013
fpr_sweep,0.05,0.0,alarm_flood_attack,50,0.03502284573098259,0.03173172174934695,0.03831396971261823,nan,nan,nan,0.03691742599881492,0.024377600640932917,0.04945725135669693,1.0,1.0,1.0,220.0,0.0,2.54,0.03439749217664013
fpr_sweep,0.1,0.0,alarm_flood_attack,50,0.03579061597095735,0.03225723577026552,0.039323996171649174,nan,nan,nan,0.03874626492505042,0.03171231592878428,0.04578021392131656,1.0,1.0,1.0,220.0,0.0,5.04,0.03439749217664013
fpr_sweep,0.2,0.0,alarm_flood_attack,50,0.03764355072067756,0.0338742621180646,0.04141283932329051,nan,nan,nan,0.04427249606759933,0.03695852127085321,0.05158647086434545,1.0,1.0,1.0,220.0,0.0,9.74,0.03439749217664013
fpr_sweep,0.3,0.0,alarm_flood_attack,50,0.038642970443169646,0.03504909864851771,0.04223684223782158,nan,nan,nan,0.04840768600352483,0.04281626589849393,0.05399910610855573,1.0,1.0,1.0,220.0,0.0,15.12,0.03439749217664013
fpr_sweep,0.5,0.0,alarm_flood_attack,50,0.04333604335231379,0.03923695775020514,0.04743512895442244,nan,nan,nan,0.054070588772239365,0.04864413854750782,0.05949703899697091,1.0,1.0,1.0,220.0,0.0,25.22,0.03439749217664013
fpr_sweep,0.0,0.0,legit_extreme_emergency,50,0.1539859070093248,0.13856765125525417,0.16940416276339543,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,30.0,0.0,0.0,0.1539859070093248
fpr_sweep,0.05,0.0,legit_extreme_emergency,50,0.15757762092039584,0.14184788826121125,0.17330735357958044,nan,nan,nan,0.02504076226618132,0.021028225587084382,0.02905329894527826,0.0,0.0,0.0,30.0,0.0,15.16,0.1539859070093248
fpr_sweep,0.1,0.0,legit_extreme_emergency,50,0.1601831635194019,0.14468578076346433,0.17568054627533947,nan,nan,nan,0.024890221076613747,0.021812963156412752,0.027967478996814742,0.0,0.0,0.0,30.0,0.0,31.2,0.1539859070093248
fpr_sweep,0.2,0.0,legit_extreme_emergency,50,0.16966347919074234,0.15302701780888378,0.1862999405726009,nan,nan,nan,0.02668816208771215,0.024491177630307184,0.02888514654511712,0.0,0.0,0.0,30.0,0.0,60.66,0.1539859070093248
fpr_sweep,0.3,0.0,legit_extreme_emergency,50,0.1747537905269133,0.15772314409349894,0.19178443696032768,nan,nan,nan,0.027509161779470007,0.025330732170177155,0.029687591388762858,0.2,0.08516712930690061,0.3148328706930994,30.0,0.0,90.42,0.1539859070093248
fpr_sweep,0.5,0.0,legit_extreme_emergency,50,0.20536169262707255,0.18757623896251838,0.2231471462916267,nan,nan,nan,0.02945574880082178,0.027394289018942447,0.031517208582701114,1.0,1.0,1.0,30.0,0.0,150.86,0.1539859070093248
fnr_sweep,0.0,0.0,alarm_flood_attack,50,0.03439749217664013,0.031125258708883267,0.03766972564439699,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,220.0,0.0,0.0,0.03439749217664013
fnr_sweep,0.0,0.05,alarm_flood_attack,50,0.03297110651892975,0.02969234163463719,0.03624987140322232,0.08073170612718439,0.06733762963254798,0.0941257826218208,nan,nan,nan,1.0,1.0,1.0,209.1,10.9,0.0,0.03439749217664013
fnr_sweep,0.0,0.1,alarm_flood_attack,50,0.03611083399809689,0.032839984263046684,0.0393816837331471,0.0779060622887393,0.06799487220210662,0.08781725237537197,nan,nan,nan,1.0,1.0,1.0,196.9,23.1,0.0,0.03439749217664013
fnr_sweep,0.0,0.2,alarm_flood_attack,50,0.040652742343559145,0.036998980575129715,0.044306504111988575,0.170330407531813,0.13887134340029736,0.20178947166332864,nan,nan,nan,1.0,1.0,1.0,175.52,44.48,0.0,0.03439749217664013
fnr_sweep,0.0,0.3,alarm_flood_attack,50,0.044747770711595115,0.04059798024375074,0.04889756117943949,1.4224982827776826,1.2578685939946905,1.5871279715606748,nan,nan,nan,1.0,1.0,1.0,154.08,65.92,0.0,0.03439749217664013
fnr_sweep,0.0,0.5,alarm_flood_attack,50,0.037249980296510735,0.03301558982848221,0.04148437076453926,5.732532109156437,5.531598615204935,5.933465603107939,nan,nan,nan,1.0,1.0,1.0,109.82,110.18,0.0,0.03439749217664013
fnr_sweep,0.0,0.0,legit_extreme_emergency,50,0.1539859070093248,0.13856765125525417,0.16940416276339543,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,30.0,0.0,0.0,0.1539859070093248
fnr_sweep,0.0,0.05,legit_extreme_emergency,50,0.1484626339416704,0.13309180111716307,0.16383346676617772,0.39026604148262656,0.3071890900939816,0.4733429928712715,nan,nan,nan,0.0,0.0,0.0,28.44,1.56,0.0,0.1539859070093248
fnr_sweep,0.0,0.1,legit_extreme_emergency,50,0.13967491005267182,0.12419584452493314,0.1551539755804105,0.4027084220809156,0.3482963805110098,0.45712046365082143,nan,nan,nan,0.0,0.0,0.0,26.6,3.4,0.0,0.1539859070093248
fnr_sweep,0.0,0.2,legit_extreme_emergency,50,0.12665801966711082,0.11109419652517785,0.1422218428090438,0.3898687331791498,0.34319039314102445,0.4365470732172751,nan,nan,nan,0.0,0.0,0.0,23.76,6.24,0.0,0.1539859070093248
fnr_sweep,0.0,0.3,legit_extreme_emergency,50,0.11546976067605472,0.10023060310314993,0.1307089182489595,0.38171450422030007,0.3417411272871559,0.42168788115344424,nan,nan,nan,0.0,0.0,0.0,20.84,9.16,0.0,0.1539859070093248
fnr_sweep,0.0,0.5,legit_extreme_emergency,50,0.09337941192966785,0.0789658657263469,0.10779295813298881,0.3567888323282116,0.31961906679880836,0.3939585978576149,nan,nan,nan,0.0,0.0,0.0,15.06,14.94,0.0,0.1539859070093248
